"parentdunsnumber","vendorname"
"009581091","COMPUTER SCIENCES CORPORATION"
"253970487","COMPUTRITION INC"
"824667906","COMPUWARE CORPORATION"
"081469939","COMSKIL INC"
"356716019","COMSOL, INC"
"079263929","CONCESSIONS HOSPITALITY MANAGEMENT GOVERNMENT SERVICES, LLC"
"827172123","CONCUR"
"189737810","CONCURRENT TECHNOLOGIES CORPOR"
"626910728","CONFEDERATE GROUP, LLC"
"604863704","CONSOLIDATED SAFETY SERVICES,"
"079095205","CONSOLIDATED SYSTEMS LEASING LLC"
"626389303","CONTRACT SOLUTIONS, INC."
"130886604","CONTRACTING RESOURCES GROUP, INC."
"134664585","CONVERGENCE TECHNOLOGY CONSULTING, LLC"
"029640740","CONVERGINT TECHNOLOGIES LLC"
"838295400","CORAY GURNITZ CONSULTING INC"
"184768583","CORESPHERE, LLC"
"084339287","CORPORATE ALLOCATION SERVICES, INC."
"018836440","CORPORATE SOURCE, INC., THE"
"830066721","COSCO FIRE PROTECTION INC."
"185534828","COURSEAVENUE, LLC"
"028873719","CPP, INC."
"621642623","CPS PROFESSIONAL SERVICES, LLC"
"210091856","CQ-ROLL CALL, INC."
"079525325","CRA INTERNATIONAL, INC."
"090369419","CRANEWORKS, INC."
"833041572","CREATIVE BUSINESS SOLUTIONS, INC."
"143530926","CREATIVE CORRECTIONS, L.L.C."
"111477741","CREATIVE SOLUTIONS INTERNATIONAL"
"805875718","CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY"
"080006028","CRGT, INC."
"803438493","CRISIS1 LLC"
"622062198","CROWN CONSULTING, INC."
"079735371","CSC GOVERNMENT SOLUTIONS LLC"
"128563850","CST OF AMERICA, INC."
"008382293","CUBIC APPLICATIONS, INC."
"603124587","CULTURAL RESOURCE ANALYSTS INC"
"006415160","CUMMINS ROCKY MOUNTAIN, LLC"
"855032087","CYBERTEC HOLDINGS"
"788624000","D3 AIR AND SPACE OPERATIONS, INC."
"065966947","DALE CARNEGIE & ASSOCIATES, INC."
"786283130","DATA FEDERAL CORPORATION"
"604081679","DATAWATCH SYSTEMS INC"
"180222671","DATAWORKS DEVELOPMENT INC"
"001367960","DATEX-OHMEDA INC"
"086612439","DAVID EVANS AND ASSOCIATES, INC."
"093377690","DAVID HALE AND ASSOCIATES, INC."
"177291986","DAVID HOUSEMAN"
"003409989","DAVIS-PAIGE MANAGEMENT SYSTEMS LLC"
"619884547","DAWNBREAKER, INC."
"806373754","DAWSON TECHNICAL, LLC"
"079281988","DDC IT SERVICES LLC"
"620596432","DECYPHER TECHNOLOGIES, LTD."
"031091204","DEE CONSULTING GROUP, LLC"
"601839660","DELL FEDERAL SYSTEMS L.P."
"014127109","DELOITTE CONSULTING LLP"
"035854939","DELTA FIRE SYSTEMS, INC."
"790841415","DEPENDABLE MARINE, INC."
"003588584","DESIGN SPACE MODULAR BUILDINGS, INC."
"788995756","DESKTOP ALERT INC."
"066781956","DEVELOPMENT ALTERNATIVES, INC."
"120838248","DEVTECH SYSTEMS, INC."
"621316814","DEWBERRY CONSULTANTS LLC"
"144344947","DEXIS INTERACTIVE"
"557573891","DEXTERA CORPORATION"
"004469300","DIEBOLD, INCORPORATED"
"197617756","DIETARY EQUIPMENT COMPANY INC"
"085783707","DIGITAL INTELLIGENCE, INC."
"113434752","DIGITRONICS, INC."
"961597106","DISCOVER TECHNOLOGIES LLC"
"799543160","DISTRIBUTED INFORMATION TECHNOLOGIES INC"
"965032878","DISTRICT COMMUNICATIONS GROUP, LLC (THE)"
"878179688","DIVERSIFIED DISTRIBUTORS INTERNATIONAL, INC."
"623686834","DLE TECHNICAL SERVICES, LLC"
"078459579","DLT SOLUTIONS, LLC"
"806509175","DMJM/PARSONS, A JOINT VENTURE"
"118930457","DMP GROUP, LLC , THE"
"130194947","DNASTAR, INC."
"790238638","DOMESTIC AWARDEES (UNDISCLOSED)"
"832482421","DOMINION BUSINESS SOLUTIONS, INC."
"931806749","DOUGHERTY & ASSOCIATES, INC"
"603127825","DRESSER-RAND COMPANY"
"805643546","DSFEDERAL, INC."
"119607559","DT-TRAK CONSULTING, INC."
"362623170","DUTY FIRST CONSULTING LLC"
"809429728","DYNAMIS, INC."
"555662696","E-9 CORPORATION"
"170945823","E3 FEDERAL SOLUTIONS, LLC"
"137206202","EAGLE HILL CONSULTING, LLC"
"090770967","EARTH RESOURCES TECHNOLOGY, INC."
"793172326","EARTH SMART ENVIRONMENTAL SOLUTIONS, LLC"
"619733533","EAST COAST FIRE PROTECTION, INC."
"605119932","EASTCO BUILDING SERVICES, INC."
"112947395","EASTERN RESEARCH GROUP, INC."
"078727889","EASYPOWER LLC"
"757699277","ECHOVIEW SOFTWARE PTY LTD"
"113396571","ECO & ASSOCIATES INC"
"058648312","ECOLOGY & ENVIRONMENT, INC"
"196693170","ECONOMETRICA INC"
"038798468","ECONOMIC SYSTEMS INC"
"792678526","ECOPLAN ASSOCIATES INCORPORATED"
"809239205","ECOSYSTEM MANAGEMENT, INC"
"009697827","ECOSYSTEM RESEARCH GROUP LLC"
"230792756","ELSEVIER INC."
"097447148","EMC CORPORATION"
"078756213","EMDEON BUSINESS SERVICES LLC"
"069042950","EMERGENCY CARE RESEARCH INSTITUTE"
"781797712","EMERGENT, LLC"
"006269633","EMERSON NETWORK POWER, LIEBERT SERVICES, INC."
"013475020","EMPIRE SOUTHWEST, LLC"
"623537032","EMPLOYMENT LEARNING INNOVATIONS, INC."
"042811732","ENCOMPASS LLC"
"032559382","ENDYNA, INC."
"135504913","ENERGY SYSTEMS GROUP, LLC"
"128756553","ENGINEERING & COMPUTER SIMULATIONS, INC."
"018204949","ENGLISH-EL ENTERPRISES LLC"
"877501676","ENTERPRISE INFORMATION SERVICES, INCORPORATED"
"004161233","ENTERPRISE TRAINING SOLUTIONS INCORPORATED"
"046713244","ENTRUST, INC."
"090006417","ENVIRONMENTAL COMPLIANCE CONSULTANTS, INC"
"017526802","ENVIRONMENTAL COST MANAGEMENT, INC."
"623557639","ENVIRONMENTAL MANAGEMENT AND PLANNING SOLUTIONS, INC."
"106741598","ENVIRONMENTAL MANAGEMENT SUPPORT INC"
"826517729","ENVIRONMENTAL QUALITY MANAGEMENT, INC"
"141876594","ENVIRONMENTAL RESEARCH GROUP LLC"
"697928625","ENVIRONMENTAL SCIENCE CORPORATION."
"063134175","ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC."
"556823359","ENVIROSCIENCE, INC."
"010507403","ENVIROSYSTEMS MANAGEMENT, INC."
"119516008","EPG, INC."
"333729965","ERDOGAN KARA"
"956580971","ERICKSON, EDWARD"
"799802025","ERIMAX INCORPORATED"
"058369562","ERNST & YOUNG, L.L.P."
"039874326","ERO RESOURCES CORPORATION"
"832947316","ERP SCIENTIFIC PARTNERS, LLC"
"111476313","ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE"
"624273277","ESCIENCE AND TECHNOLOGY SOLUTIONS, INCORPORATED"
"809409647","ESI ACQUISITION, INC."
"088765177","ESI INTERNATIONAL, INCORPORATED"
"768811721","ESI NORTH AMERICA, INC."
"807788232","ESVA"
"133120332","EVENT PLANNING GROUP, LLC, THE"
"015230092","EVERGREEN FIRE ALARMS, LLC"
"791056059","EVOLUTION ENTERPRISES INC"
"079427087","EVOQUA WATER TECHNOLOGIES LLC"
"049779648","EXCALIBUR LAUNDRIES INC"
"077388549","EXCEED CORPORATION"
"095512708","EXECUTIVE PROTECTION SYSTEMS, LLC"
"004203337","EXELIS VISUAL INFORMATION SOLUTIONS, INC."
"006967921","EXPERIENT INC."
"175319912","F Y I FOR YOUR INFORMATION INCORPORATED"
"833205672","F2 SOLUTIONS, LLC"
"139768881","FAR WESTERN ANTHROPOLOGICAL RESEARCH GROUP, INC."
"691134183","FAREAST SERVICE COMPANY"
"118927735","FCI FEDERAL, INC"
"071017115","FEDCAP REHABILITATION SERVICES INCORPORATED"
"830363177","FEDERAL DEFENSE SOLUTIONS, INC."
"079673403","FEDERAL EMPLOYMENT LAW TRAINING GROUP LLC"
"825894421","FEDERAL MANAGEMENT PARTNERS, INCORPORATED"
"136573719","FEDITC LLC"
"828562699","FEEA CHILDCARE SERVICES, INC."
"099141541","FEI COMPANY"
"126150056","FI CONSULTING, INC."
"030772334","FIDELITY NATIONAL INFORMATION SERVICES, INC."
"090436465","FINANCIAL VOYAGES LLC."
"655149347","FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC."
"035327287","FIRE PROTECTION SERVICE CORPORATION"
"929445492","FIREHOUSE MEDICAL INCORPORATED"
"019293817","FIRST EQUIPMENT, INC."
"030506036","FIRSTECH INC"
"169727646","FM TALENT SOURCE LLC"
"004161712","FORCE 3, LLC"
"026879521","FOREFLIGHT LLC"
"790238851","FOREIGN AWARDEES (UNDISCLOSED)"
"153906193","FOREIGN UTILITY CONSOLIDATED REPORTING"
"926446027","FORESEE RESULTS, INC."
"071549000","FORESTRY AND FIRE PROTECTION, CALIFORNIA DEPARTMENT OF"
"129842667","FORS MARSH GROUP LLC"
"561882945","FORSVARETS LOGISTIKKORGANISASJON MARINE EXPEDITIONARY BRIGADE"
"789007064","FOUR LLC"
"089896737","FOUR POINTS TECHNOLOGY, L.L.C."
"113402713","FRANKLIN COVEY CLIENT SALES INC"
"077852242","G M R AERIAL SURVEYS, INC."
"071610513","G R A INCORPORATED"
"157637570","G.C.MICRO CORPORATION"
"831923961","G2S CORPORATION"
"617202437","GAMS DEVELOPMENT CORPORATION"
"120439869","GAP SOLUTIONS, INC."
"030461409","GCC TECHNOLOGIES, LLC"
"001381284","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
"047392741","GENSLER JR M ARTHUR AND ASSOCIATES INCORPORATED (3305)"
"148020696","GENWEST SYSTEMS, INC."
"244415758","GEO-SLOPE INTERNATIONAL LTD"
"135054075","GEOCUE CORPORATION"
"141708334","GEOMORPH INFORMATION SYSTEMS LLC"
"043990498","GEORGE WASHINGTON UNIVERSITY, THE"
"122492390","GEOSYNTEC CONSULTANTS, INC"
"837697713","GLOBAL CONSULTING INC."
"156919487","GLOBAL EVALUATION & APPLIED RE"
"802975305","GLOBAL NETWORKS INC"
"610974201","GLOBAL RESOURCE SOLUTIONS, INC."
"171898732","GLOBAL TECH INC."
"018609925","GLOBE EQUIPMENT COMPANY INC, THE"
"192867690","GLOCOMS, INC"
"141709696","GMG MANAGEMENT CONSULTING INC."
"146047928","GO TO GROUP, INC, THE"
"096763800","GOLDBELT GLACIER HEALTH SERVICES"
"111187295","GOLDEN KEY GROUP, LLC"
"142135552","GONZALES MCCAULLEY INVESTMENT GROUP INC"
"166964986","GOVCONNECTION, INC."
"829760029","GOVERNMENT CONTRACTING SERVICES LLC"
"832316512","GOVERNMENT TRAINING INC"
"007978117","GOVERNMENT TRAINING INSTITUTE, INC."
"964290881","GOVERNMENT TRAINING, LLC"
"961600272","GOVSMART, INC."
"047799267","GP STRATEGIES CORPORATION"
"136721250","GPC CONSOLIDATED REPORTING"
"128106296","GR-SYSTEMS INC"
"621871784","GRA, INC."
"032970746","GRACE REGISTRY SERVICES"
"040535536","GRADUATE SCHOOL"
"347201258","GRANT THORNTON LLP"
"623908381","GRAPHPAD SOFTWARE, INC."
"800884181","GREAT LAKES ENVIRONMENTAL CENTER, INC."
"105722854","GREEN HILLS SOFTWARE, INC."
"036796498","GROWTH TRANSITIONS, INC"
"013814426","GUIDANCE SOFTWARE, INC."
"867742355","GULF SOUTH RESEARCH CORPORATION"
"008200016","H&E EQUIPMENT SERVICES, INC."
"029068918","H2 ENVIRONMENTAL"
"118725410","HANKS, HANKS & ASSOCIATES LLC"
"783808111","HARKCON, INC"
"075176284","HARLAN LEE & ASSOCIATES LLC"
"804640290","HARRIS ENVIRONMENTAL GROUP, INC."
"001963263","HARVARD COLLEGE, PRESIDENT & FELLOWS OF"
"602389681","HASSETT & WILLIS ASSOCIATES, LLC"
"006979509","HAYNES INCORPORATED"
"119388945","HAZAIR, INC."
"068668805","HDR ENVIRONMENTAL, OPERATIONS AND CONSTRUCTION, INC."
"001778349","HEALTH SERVICES, WISCONSIN DEPARTMENT OF"
"127149784","HEALTHCARE MANAGEMENT SOLUTIONS, LLC"
"832880913","HEARTLAND ENERGY PARTNERS LLC"
"806502816","HENDALL INC"
"035540637","HGS ENGINEERING, INC."
"117071386","HIDDEN WATER INC"
"058175170","HIGH PLAINS COMPUTING, INC."
"153879903","HIGHLAND ENGINEERING INCORPORATED"
"061214263","HILL GROUP, INC, THE"
"403581143","HILLER COMPANIES, INC., THE"
"139691877","HONEYWELL TECHNOLOGY SOLUTIONS INC."
"618387484","HORSLEY WITTEN GROUP INCORPORATED"
"701737645","HOWA SANGYO CO., LTD."
"009122532","HP ENTERPRISE SERVICES, LLC"
"115415338","HR ANEW, INC."
"072631799","HUMAN RESOURCES RESEARCH ORGAN"
"021873740","HUMAN TECHNOLOGY, INC"
"613569961","I. H. I."
"622827525","I.M. SYSTEMS GROUP, INC."
"102242844","IAN, EVAN & ALEXANDER CORPORATION"
"079492183","IAP WORLD SERVICES INC"
"139001544","ICF INCORPORATED, L.L.C."
"835565474","IDEAL SOLUTIONS, INC"
"005806133","IDEATION, INC."
"198224532","IHS GLOBAL INC."
"114706695","IIF DATA SOLUTIONS, INC"
"005146428","ILLINOIS TOOL WORKS INC."
"145563586","IMMERSION CONSULTING LIMITED LIABILITY COMPANY"
"049159957","IMMIXTECHNOLOGY, INC."
"088656512","IMPAQ INTERNATIONAL LLC"
"011182784","IMPRES TECHNOLOGY SOLUTIONS, INC."
"145792243","INCIDENT MANAGEMENT TRAINING CONSORTIUM, LLC"
"809163319","INFINISOURCE CONSULTING SOLUTIONS INC"
"789995933","INFINITY CONFERENCE GROUP INC"
"198024809","INFINITY TECHNOLOGY, LLC"
"079529385","INFOR PUBLIC SECTOR, INC"
"807505078","INFORMATION MANAGEMENT RESOURCES, INC."
"787042998","INFORMATION TECHNOLOGY COALITION, INC."
"601275282","INNOVATIVE EMERGENCY MANAGEMENT, INC."
"003264850","INNOVATIVE PRODUCT ACHIEVEMENTS, LLC"
"793135260","INSIDEOUT DEVELOPMENT LLC"
"626683184","INSIGHT MANAGEMENT CONSULTING, LLC"
"015527489","INSIGHT POLICY RESEARCH INC"
"876383589","INSIGHT PUBLIC SECTOR, INC."
"052311607","INSIGHT TECHNOLOGY SOLUTIONS INC."
"187931717","INSPECTION EXPERTS, INC."
"807372839","INTEGRATED FEDERAL SOLUTIONS, INC."
"790473453","INTEGRATED FINANCE AND ACCOUNTING SOLUTIONS, LLC"
"079302051","INTEGRATED MISSION SUPPORT SERVICES LLC"
"044574767","INTEGRATED SECURITY SOLUTIONS, INC."
"109173398","INTEGRATED STATISTICS INCORPORATED"
"613429849","INTEGRATED SYSTEMS SOLUTIONS, INC."
"194496837","INTEGRI LIMITED LIABILITY COMPANY"
"830850447","INTEGRITY CORPORATION, INC."
"621190102","INTEGRITY MANAGEMENT CONSULTING, INC"
"787000269","INTELLIGENCE, COMMUNICATIONS AND ENGINEERING, INC"
"078722701","INTELLIGENT ACCESS SYSTEMS OF NORTH CAROLINA, LLC"
"199732129","INTELLIWARE SYSTEMS, INC."
"083763834","INTER-PACIFIC, INC."
"077479959","INTERACTIVE PROCESS TECHNOLOGY, LLC"
"947798559","INTERACTIVE TECHNOLOGIES GROUP"
"354716029","INTERGRAPH CORPORATION"
"611390592","INTERNATIONAL BUSINESS & TECHNICAL CONSULTANTS, INC"
"001368083","INTERNATIONAL BUSINESS MACHINES CORPORATION"
"059005020","INTERNATIONAL CENTER FOR LEADERSHIP DEVELOPMENT, INC., THE"
"009756123","INTERNATIONAL LEADERSHIP CONSU"
"130362924","INTERNATIONAL SYSTEMS OF AMERICA, LLC"
"144236564","INTERSERV MAINTENANCE MANAGEMENT SOLUTIONS, INC."
"883914160","IPSOS PUBLIC AFFAIRS, LLC"
"876875154","IQ SOLUTIONS, INC."
"968415781","IRON BOW TECHNOLOGIES, LLC"
"077548964","IRVING BURTON ASSOCIATES, INC."
